194,Condition ,Structures,Existing,Dropdown,IRC:SP:84-2019 Clause:10.4.4There shall be CCTV camera installed at each booth.,,TRUE,FALSE,, nh_sh_4_lane
195,Road sign ,Structures,Existing,Title of Section,IRC:SP:84-2019 Clause:10.11 Toll Plaza shall have fire fighting equipment  including smoke detectors and auto visual alarm system as per Section 4.17.1 of National Building Code  so that the personnel working in the complex and the office and the road users are protected against fire hazards.,(+Add more),TRUE,FALSE,, nh_sh_4_lane
196,Sign type,Structures,Existing,Dropdown,,,TRUE,FALSE,, nh_sh_4_lane
197,Gantry sign boards placement as per IRC:67 ,Structures,Existing,Radio button,,,TRUE,FALSE,, nh_sh_4_lane
198,Retroreflectivity,Structures,Existing,Radio button,IRC:SP:84-2019 Clause 12.11 Emergency Medical Services,,TRUE,FALSE,, nh_sh_4_lane
199,visibility,Structures,Existing,Radio button,These services shall include setting up medical aid posts by the Concessionaire. The Concessionaire shall provide â€œTwo Patient Capacityâ€œ rescue ambulance(s) at the Toll Plaza location(s). Specifications of â€œTwo Patient Capacityâ€œ rescue ambulance along with medical devices  on-board equipments  medicines and man power,,TRUE,FALSE,, nh_sh_4_lane
200,overhead lane signs,Structures,Existing,Radio button,IRC:SP:84-2019 Clause:12.12 The Concessionaire shall provide a crane of adequate capacity (minimum 20 MT) at Â each toll plaza location(s) with all necessary equipment so that it can reach the site of Â the incident within 30 minutes of call and clear the disabled/accident vehicles. It shall Â also be fitted with a GPS based vehicle tracking system to monitor its movement on 24 hours x 7 days of a week basis.,,TRUE,FALSE,, nh_sh_4_lane
201,Min. 16 no. lane available ,Structures,Existing,Radio button,,,TRUE,FALSE,, nh_sh_4_lane
202,No. of lane,Structures,Existing,Numerical Box,,Display if K 1.1.11=No,TRUE,FALSE,, nh_sh_4_lane
203,3.2m wide lane,Structures,Existing,Radio button,,,TRUE,FALSE,, nh_sh_4_lane
204,Width,Structures,Existing,Numerical Box,IRC:SP:84-2019 Clause:10.9 Overhead Lane Signs (OHLS) shall be mounted on the leading edge of the canopy covering the toll lanes above the center of the lane to indicate to the user.,Display if K 1.1.12=No,TRUE,FALSE,, nh_sh_4_lane
205,4.5-meter wide lane for oversized vehicles,Structures,Existing,Radio button,IRC:SP:84-2019 Clause:10.3 Adequate land for Toll Plaza shall be acquired to permit the provision of toll lanes for a projected peak hour traffic of 20 years subject to a minimum number of 8 toll lanes including all other buildings and structures to be accommodated at the Toll Plaza location,,TRUE,FALSE,, nh_sh_4_lane
206,CCTV camera ,Structures,Existing,Radio button,IRC:SP:84-2019  Clause:10.4.2 The width of each toll lane shall be 3.2 m,,TRUE,FALSE,, nh_sh_4_lane
207,closed lane signal/arrow ,Structures,Existing,Radio button,IRC:SP:84-2019 Clause:10.4.2  width of each toll lane for over dimensioned vehicles  where it shall be 4.5 m.,,TRUE,FALSE,, nh_sh_4_lane
208,fire fighting system,Structures,Existing,Radio button,,,TRUE,FALSE,, nh_sh_4_lane
209,Min. 40 lux lighting,Structures,Existing,Radio button,IRC:SP:84-2019 Clause:10.4.4There shall be CCTV camera installed at each booth.,,TRUE,FALSE,, nh_sh_4_lane
210,Emergency Lane ,Structures,Existing,Radio button,IRC:SP:84-2019 Clause:10.9  It shall also indicate whether the toll lane is open or closed,,TRUE,FALSE,, nh_sh_4_lane
211,Emergency medical services nearby,Structures,Existing,Radio button,IRC:SP:84-2019 Clause:10.11 Toll Plaza shall have fire fighting equipment  including smoke detectors and auto visual alarm system as per Section 4.17.1 of National Building Code  so that the personnel working in the complex and the office and the road users are protected against fire hazards.,,TRUE,FALSE,, nh_sh_4_lane
212,highway patrol units in the stretch,Structures,Existing,Radio button,IRC:SP:84-2019 Clause:12.5.2  the minimum level of illumination on the locations of the Project Highway where lighting is to be provided as per this section shall be 40 Lux,,TRUE,FALSE,, nh_sh_4_lane
213,No. of Vehicles,Structures,Existing,Text Box,,Display if K 1.1.20= Yes,TRUE,FALSE,, nh_sh_4_lane
214,Crane services ,Structures,Existing,Radio button,,,TRUE,FALSE,, nh_sh_4_lane
215,Traffic congestion ,Structures,Existing,Radio button,,,TRUE,FALSE,, nh_sh_4_lane
216,Drainage Issues,Structures,Existing,Radio button,IRC:SP:84-2019 Clause:12.10 The concessionaire shall establish and operate Highway Patrol Unit(s) at the Toll Plaza  Locations  which shall continuously patrol the highway in a stretch not exceeding 50 km  and shall remain in contact with the control room on a real time basis,,TRUE,FALSE,, nh_sh_4_lane
217,Pavement distress,Structures,Existing,,IRC:SP:84-2019 Clause:12.12 The Concessionaire shall provide a crane of adequate capacity (minimum 20 MT) at  each toll plaza location(s) with all necessary equipment so that it can reach the site of  the incident within 30 minutes of call and clear the disabled/accident vehicles. It shall  also be fitted with a GPS based vehicle tracking system to monitor its movement on 24 hours x 7 days of a week basis.,(+Add More),TRUE,FALSE,, nh_sh_4_lane
218,Failure type,Structures,Existing,Drop Down,,Display if K 1.1.25 = Yes ,TRUE,FALSE,, nh_sh_4_lane
219,Sight Distance Issues ,Structures,Existing,Radio button,,,TRUE,FALSE,, nh_sh_4_lane
220,Safe stopping sight distance,Structures,Existing,Numerical Box,,,TRUE,FALSE,, nh_sh_4_lane
221,Obstruction Type,Structures,Existing,Dropdown,,,TRUE,FALSE,, nh_sh_4_lane
222,Comments,Structures,Existing,Text Area,,Display for any option selected in N1,FALSE,FALSE,, nh_sh_4_lane
223,Critical observation,Structures,Existing,Checkbox,,Display for any option selected in N1,FALSE,FALSE,, nh_sh_4_lane
224,General observation,Structures,Existing,Checkbox,,Display for any option selected in N1,FALSE,FALSE,, nh_sh_4_lane
225,Severity ,Structures,Existing,Dropdown,,Display for any option selected in N4,FALSE,FALSE,, nh_sh_4_lane
226,Priority ,Structures,Existing,Dropdown,,Display for any option selected in N1,FALSE,FALSE,, nh_sh_4_lane
227,GPS Location,Structures,Existing,Autogenerated,,,TRUE,FALSE,O1, nh_sh_4_lane
228,Chainage (km),Structures,Existing,Numerical Box,,,FALSE,FALSE,O2, nh_sh_4_lane
229,Photo/Video/Audio,Structures,Existing,Camera/ Upload,,Must have an option for taking photos/recording the video/recording audio in the field as well as  uploading the photo/video/audio recording from the device folder  Option for adding multiple photos should be there,TRUE,FALSE,O3, nh_sh_4_lane
230,Horizontal setback â‰¥ 14mÂ (from the extreme lane's centre),Structures,Existing,Radio Button,IRC:SP:84-2019 Clause 11.2.1 Trees shall be placed at a minimum distance of 14 m from the centre line of the extreme traffic lane to provide recovery area for the vehicle  that runs off the road.,,FALSE,FALSE,O4, nh_sh_4_lane
231,Horizontal Setback (m),Structures,Existing,Numerical Box,,If O4 = No,TRUE,FALSE,O4.1, nh_sh_4_lane
232,Min. 5m vertical clearance ,Structures,Existing,Radio Button,IRC:SP:84-2019 Clause 11.2.1 For safe traffic operation  the vertical clearance available across the roadway shall be minimum 5. Trees shall be trimmed to 6m and 6.5m above the pavement in rural and urban areas respectively.,,FALSE,FALSE,O5, nh_sh_4_lane
233,Vertical clearance (m),Structures,Existing,Numerical Box,,If O5 = No ,TRUE,FALSE,O5.1, nh_sh_4_lane
234,Issues,Structures,Existing,Multiple selection; Check Box,,,FALSE,FALSE,O6, nh_sh_4_lane
235,Comments,Structures,Existing,Text Area,,,FALSE,FALSE,O7, nh_sh_4_lane
236,Critical observation,Structures,Existing,Checkbox,,,FALSE,FALSE,O8, nh_sh_4_lane
237,General observation,Structures,Existing,Checkbox,,,FALSE,FALSE,O9, nh_sh_4_lane
238,Priority ,Structures,Existing,Dropdown,,,FALSE,FALSE,O11, nh_sh_4_lane
239,GPS Location,Structures,Existing,Autogenerated,,,TRUE,FALSE,P1, nh_sh_4_lane
240,Chainage (km),Structures,Existing,Numerical Box,,,FALSE,FALSE,P2, nh_sh_4_lane
241,Photo/Video/Audio,Structures,Existing,Camera/ Upload,,Must have an option for taking photos/recording the video/recording audio in the field as well as  uploading the photo/video/audio recording from the device folder  Option for adding multiple photos should be there,TRUE,FALSE,P3, nh_sh_4_lane
242,Type,Structures,Existing,Dropdown,,,FALSE,FALSE,P4, nh_sh_4_lane
243,Horizontal clearance as per IRC 32,Structures,Existing,Radio Button,IRC : 32-1969 Poles carrying overhead power and telecommunication lines shall  excepting the urban areas  be erected at least 10.0 metres away from the nearest edge of the roadway  provided also that these are at a minimum distance of 5.0 metres from the nearest line of avenue trees.,,FALSE,FALSE,P5, nh_sh_4_lane
244,Horizontal Clearance (m),Structures,Existing,Numerical Box,,If P5 = No,TRUE,FALSE,P5.1, nh_sh_4_lane
245,Vertical clearance as per CEA guidelines 2023,Structures,Existing,Radio Button,CEA Guidelines 2023 Schedule VIII A,,FALSE,FALSE,P6, nh_sh_4_lane
246,Vertical Clearance (m),Structures,Existing,Numerical Box,,If P6 = No,TRUE,FALSE,P6.1, nh_sh_4_lane
247,Warning / cautionary sign board ,Structures,Existing,,,Pop up Section G when clicked,FALSE,FALSE,P7, nh_sh_4_lane
248,Comments,Structures,Existing,Text Area,,,FALSE,FALSE,P8, nh_sh_4_lane
249,Critical observation,Structures,Existing,Checkbox,,,FALSE,FALSE,P9, nh_sh_4_lane
250,General observation,Structures,Existing,Checkbox,,,FALSE,FALSE,P10, nh_sh_4_lane
251,Priority ,Structures,Existing,Dropdown,,,FALSE,FALSE,P12, nh_sh_4_lane
252,GPS Location,Structures,Existing,Autogenerated,,,TRUE,FALSE,Q1, nh_sh_4_lane
253,Chainage (km),Structures,Existing,Numerical Box,,,FALSE,FALSE,Q2, nh_sh_4_lane
254,Photo/Video/Audio,Structures,Existing,Camera/ Upload,,Must have an option for taking photos/recording the video/recording audio in the field as well as  uploading the photo/video/audio recording from the device folder  Option for adding multiple photos should be there,TRUE,FALSE,Q3, nh_sh_4_lane
255,Type,Structures,Existing,Type and search Dropdwon,,,FALSE,FALSE,Q4, nh_sh_4_lane
256,Issues,Structures,Existing,Multiple selection; Check Box,,,FALSE,FALSE,Q5, nh_sh_4_lane
257,Comments,Structures,Existing,Text Area,,,FALSE,FALSE,Q6, nh_sh_4_lane
258,Critical observation,Structures,Existing,Checkbox,,,FALSE,FALSE,Q7, nh_sh_4_lane
259,General observation,Structures,Existing,Checkbox,,,FALSE,FALSE,Q8, nh_sh_4_lane
260,Severity ,Structures,Existing,Dropdown,,,FALSE,FALSE,Q9, nh_sh_4_lane
261,Priority ,Structures,Existing,Dropdown,,,FALSE,FALSE,Q10, nh_sh_4_lane
262,GPS Location,Structures,Existing,Autogenerated,,,TRUE,FALSE,R1, nh_sh_4_lane
263,Chainage (km),Structures,Existing,Numerical Box,,,FALSE,FALSE,R2, nh_sh_4_lane
264,Photo/Video/Audio,Structures,Existing,Camera/ Upload,,Must have an option for taking photos/recording the video/recording audio in the field as well as  uploading the photo/video/audio recording from the device folder  Option for adding multiple photos should be there,TRUE,FALSE,R3, nh_sh_4_lane
265,Comments,Structures,Existing,Text Area,,,FALSE,FALSE,R5, nh_sh_4_lane
266,Critical observation,Structures,Existing,Checkbox,,,FALSE,FALSE,R6, nh_sh_4_lane
267,General observation,Structures,Existing,Checkbox,,,FALSE,FALSE,R7, nh_sh_4_lane
268,Severity ,Structures,Existing,Dropdown,,,FALSE,FALSE,R8, nh_sh_4_lane
269,Priority ,Structures,Existing,Dropdown,,,FALSE,FALSE,R9, nh_sh_4_lane
270,GPS Location,Structures,Existing,Autogenerated,,,TRUE,FALSE,S1, nh_sh_4_lane
271,Chainage (km),Structures,Existing,Numerical Box,,,FALSE,FALSE,S2, nh_sh_4_lane
272,Photo/Video/Audio,Structures,Existing,Camera/ Upload,,Must have an option for taking photos/recording the video/recording audio in the field as well as  uploading the photo/video/audio recording from the device folder  Option for adding multiple photos should be there,TRUE,FALSE,S3, nh_sh_4_lane
273,School Zone,Structures,Existing,Heading,,,,FALSE,T1, nh_sh_4_lane
274,GPS Location,Structures,Existing,Autogenerated,,,TRUE,FALSE,T1.1, nh_sh_4_lane
275,Photo/Video/Audio,Structures,Existing,Camera/ Upload,,Must have an option for taking photos/recording the video/recording audio in the field as well as  uploading the photo/video/audio recording from the device folder  Option for adding multiple photos should be there,TRUE,FALSE,T1.3, nh_sh_4_lane
276,Traffic calming measures,Structures,Existing,,,Pop up Section Q when clicked,,FALSE,T1.4, nh_sh_4_lane
277,Speed signboard  ,Structures,Existing,Radio Button,,,TRUE,FALSE,D4.1.3, nh_sh_4_lane
278,25 kmph speed limit signboard on approaches,Structures,Existing,Radio Button,IRC 99-2018 :Clause 4.1.2 School children are more prone to commit mistakes while negotiating with highway traffic. Hence  it is recommended that vehicles should travel at maximum speeds of 25 kmph near schools. ,,TRUE,FALSE,D4.1.3.2, nh_sh_4_lane
279,Posted speed limit (kmph),Structures,Existing,Numerical Box,,,TRUE,FALSE,D4.1.3.3, nh_sh_4_lane
280,Transition speed limit (kmph),Structures,Existing,Numerical Box,,,TRUE,FALSE,D4.1.3.4, nh_sh_4_lane
281,Warning sign board as per IRC 67-2022 ,Structures,Existing,Radio Button,,,TRUE,FALSE,D4.1.3, nh_sh_4_lane
282,Signboard visible  ,Structures,Existing,Radio Button,,,TRUE,FALSE,D4.1.4, nh_sh_4_lane
283,Pedestrian crossing marking,Structures,Existing,Radio Button,,,TRUE,FALSE,D4.1.5, nh_sh_4_lane
284,Zig zag hazard marking,Structures,Existing,Radio Button,,,TRUE,FALSE,D4.1.6, nh_sh_4_lane
285,Comments,Structures,Existing,Text Area,,,FALSE,FALSE,, nh_sh_4_lane
286,Critical observation,Structures,Existing,Checkbox,,,FALSE,FALSE,, nh_sh_4_lane
287,Severity ,Structures,Existing,Dropdown,,,FALSE,FALSE,, nh_sh_4_lane
288,Priority ,Structures,Existing,Dropdown,,,FALSE,FALSE,, nh_sh_4_lane
289,Hospital Zone,Structures,Existing,Heading,,,,FALSE,T2, nh_sh_4_lane
290,GPS Location,Structures,Existing,Autogenerated,,,TRUE,FALSE,T2.1, nh_sh_4_lane
291,Chainage (km),Structures,Existing,Numerical Box,,,FALSE,FALSE,T2.2, nh_sh_4_lane
292,Photo/Video/Audio,Structures,Existing,Camera/ Upload,,Must have an option for taking photos/recording the video/recording audio in the field as well as  uploading the photo/video/audio recording from the device folder  Option for adding multiple photos should be there,TRUE,FALSE,T2.3, nh_sh_4_lane
293,Traffic calming measures,Structures,Existing,Radio Button,,,TRUE,FALSE,D4.2.2, nh_sh_4_lane
294,Type,Structures,Existing,Drop Down,,Display if D4.2.2 = Yes,TRUE,FALSE,D4.2.2.2, nh_sh_4_lane
295,Others,Structures,Existing,Text Box,,Display if D 4.2.2.2 = Others,TRUE,FALSE,D4.2.2.2.1, nh_sh_4_lane
296,Speed signboard  ,Structures,Existing,Radio Button,,,TRUE,FALSE,D4.2.3, nh_sh_4_lane
297,30 kmph speed limit signboard on approaches,Structures,Existing,Radio Button,IRC 99-2018 :Clause 4.1.2 School children are more prone to commit mistakes while negotiating with highway traffic. Hence  it is recommended that vehicles should travel at maximum speeds of 25 kmph near schools. ,,TRUE,FALSE,D4.2.3.2, nh_sh_4_lane
298,Posted speed limit (kmph),Structures,Existing,Numerical Box,,,TRUE,FALSE,D4.2.3.3, nh_sh_4_lane
299,Transition speed limit (kmph),Structures,Existing,Numerical Box,,,TRUE,FALSE,D4.2.3.4, nh_sh_4_lane
300,Signboard visible  ,Structures,Existing,Radio Button,,,TRUE,FALSE,D4.2.4, nh_sh_4_lane
301,Facility information sign board ,Structures,Existing,Radio Button,,,TRUE,FALSE,D4.2.5, nh_sh_4_lane
302,Comments,Structures,Existing,Text Area,,,FALSE,FALSE,, nh_sh_4_lane
303,Critical observation,Facilities,Existing,Checkbox,,,FALSE,FALSE,, nh_sh_4_lane
304,General observation,Facilities,Existing,Checkbox,,,FALSE,FALSE,, nh_sh_4_lane
305,Severity ,Facilities,Existing,Dropdown,,,FALSE,FALSE,, nh_sh_4_lane
306,Priority ,Facilities,Existing,Dropdown,,,FALSE,FALSE,, nh_sh_4_lane
307,GPS Location,Facilities,Existing,Autogenerated,,,TRUE,FALSE,, nh_sh_4_lane
308,Chainage (km),Facilities,Existing,Numerical Box,,,FALSE,FALSE,, nh_sh_4_lane
309,Photo/Video/Audio,Facilities,Existing,Camera/ Upload,,Must have an option for taking photos/recording the video/recording audio in the field as well as  uploading the photo/video/audio recording from the device folder  Option for adding multiple photos should be there,TRUE,FALSE,, nh_sh_4_lane
310,GPS Location,Facilities,Existing,Autogenerated,,,TRUE,FALSE,, nh_sh_4_lane
311,Chainage (km),Facilities,Existing,Numerical Box,,,TRUE,FALSE,, nh_sh_4_lane
312,Photo/Video/Audio,Facilities,Existing,Camera/ Upload,,Must have an option for taking photos/recording the video/recording audio in the field as well as  uploading the photo/video/audio recording from the device folder  Option for adding multiple photos should be there,TRUE,FALSE,, nh_sh_4_lane
313,GPS Location,Facilities,Existing,Autogenerated,,,FALSE,FALSE,, nh_sh_4_lane
314,Chainage (km),Facilities,Existing,Numerical Box,,,TRUE,FALSE,, nh_sh_4_lane
315,Photo/Video/Audio,Facilities,Existing,Camera/ Upload,,Must have an option for taking photos/recording the video/recording audio in the field as well as  uploading the photo/video/audio recording from the device folder  Option for adding multiple photos should be there,TRUE,FALSE,, nh_sh_4_lane
316,GPS Location,Facilities,Existing,Autogenerated,,,FALSE,FALSE,Z1, nh_sh_4_lane
317,Chainage (km),Facilities,Existing,Numerical Box,,,TRUE,FALSE,Z2, nh_sh_4_lane
318,Photo/Video/Audio,Facilities,Existing,Camera/ Upload,,Must have an option for taking photos/recording the video/recording audio in the field as well as  uploading the photo/video/audio recording from the device folder  Option for adding multiple photos should be there,FALSE,FALSE,Z3, nh_sh_4_lane
319,Comments,Facilities,Existing,Text Area,,,FALSE,FALSE,Z4, nh_sh_4_lane
320,Critical observation,Facilities,Existing,Checkbox,,,FALSE,FALSE,Z5, nh_sh_4_lane
321,General observation,Facilities,Existing,Checkbox,,,FALSE,FALSE,Z6, nh_sh_4_lane
322,Severity ,Facilities,Existing,Dropdown,,,FALSE,FALSE,Z7, nh_sh_4_lane
323,Priority ,Facilities,Existing,Dropdown,,,TRUE,FALSE,Z8, nh_sh_4_lane
324,GPS location,Cross Section,Existing,Autogenerated,,,FALSE,FALSE,D1, nh_sh_2_lane
325,Chainage (km),Cross Section,Existing,Numerical Box,,,TRUE,FALSE,D2, nh_sh_2_lane
326,Photo/Video/Audio,Cross Section,Existing,Camera/ Upload,,Must have an option for taking photos/recording the video/recording audio in the field as well as  uploading the photo/video/audio recording from the device folder  Option for adding multiple photos should be there,FALSE,FALSE,D3, nh_sh_2_lane
327,Min. 30m wide Right of Way (ROW) ,Cross Section,Existing,Radio Button,IRC:SP:73-2018 Clause 2.3 two laning cross sections  improvement Â of geometrics  realignment  junctions  bypasses etc.  ROW of 30 m shall be acquired by the Â Authority,,TRUE,FALSE,D4, nh_sh_2_lane
328,ROW width (m),Cross Section,Existing,Numerical Box,,If D4= No,FALSE,FALSE,D4.1, nh_sh_2_lane
329,Min. 3.5m wide lane ,Cross Section,Existing,Radio Button,IRC:SP:73-2018 Clause 2.4 The standard lane width of the Project Highway shall be 3.5 m.,,TRUE,FALSE,D5, nh_sh_2_lane
330,Width (m),Cross Section,Existing,Numerical Box,,If D5 = No,FALSE,FALSE,D5.1, nh_sh_2_lane
331,Carriageway width (m),Cross Section,Existing,Numerical Box,,,FALSE,FALSE,D6, nh_sh_2_lane
332,Shoulder ,Cross Section,Existing,Heading,,,FALSE,FALSE,D7, nh_sh_2_lane
333,Issues,Cross Section,Existing,Drop down,,,FALSE,FALSE,D7.1, nh_sh_2_lane
334,Type,Cross Section,Existing,Radio Button,,,FALSE,FALSE,D7.2, nh_sh_2_lane
335,Width(m),Cross Section,Existing,Numerical Box,IRC:SP:73-2018 Clause 2.6.1 Table 2.2 Shoulder Width ,If D7.2 = Paved,FALSE,FALSE,D7.2.1, nh_sh_2_lane
336,Width(m),Cross Section,Existing,Numerical Box,IRC:SP:73-2018  Clause 2.6.1  Table 2.2 Shoulder Width ,If D7.2 = Earthen,FALSE,FALSE,D7.2.2, nh_sh_2_lane
337,Drainage Issues ,Cross Section,Existing,Multiple selection; Check Box,,,FALSE,FALSE,D8, nh_sh_2_lane
338,Hazard Type,Cross Section,Existing,Multiple selection; Check Box,,,FALSE,FALSE,D9, nh_sh_2_lane
339,Embankment height > 3 m,Cross Section,Existing,Radio Button,,,TRUE,FALSE,D10, nh_sh_2_lane
340,Safety barrier ,Cross Section,Existing,Radio Button,IRC:SP:73-2018 Â Clause 9.7.1 (i)Embankment height 3 m or more shall have safety barrier at the edge of formation. The height of embankment for installation for safety barrier shall be measured from the top of finished road level to bottom level of Original Ground Level (OGL) or invert level of ditch.,If D10= Yes,TRUE,FALSE,D10.1, nh_sh_2_lane
341,End Treatment  ,Cross Section,Existing,Radio Button,IRC:SP:73-2018 Clause 9.7.2 Road side steel barriers b)End treatment for steel barrier: Fig 9.13,If D10.1= Yes,FALSE,FALSE,D10.2, nh_sh_2_lane
342,Comments,Cross Section,Existing,Text Area,,,FALSE,FALSE,D11, nh_sh_2_lane
343,Critical observation,Cross Section,Existing,Checkbox,,,FALSE,FALSE,D12, nh_sh_2_lane
344,General observation,Cross Section,Existing,Checkbox,,,FALSE,FALSE,D13, nh_sh_2_lane
345,Severity ,Cross Section,Existing,Dropdown,,,FALSE,FALSE,D14, nh_sh_2_lane
346,Priority ,Cross Section,Existing,Dropdown,,,TRUE,FALSE,D15, nh_sh_2_lane
347,GPS Location,Pavement Condition ,Existing,Autogenerated,,,FALSE,FALSE,I1, nh_sh_2_lane
348,Chainage (km),Pavement Condition ,Existing,Numerical Box,,,TRUE,FALSE,I2, nh_sh_2_lane
349,Photo/Video/Audio,Pavement Condition ,Existing,Camera/ Upload,,Must have an option for taking photos/recording the video/recording audio in the field as well as  uploading the photo/video/audio recording from the device folder  Option for adding multiple photos should be there,FALSE,FALSE,I3, nh_sh_2_lane
350,Distress in ,Pavement Condition ,Existing,Radio Button,,,FALSE,FALSE,I4, nh_sh_2_lane
351,Flexible Pavement,Pavement Condition ,Existing,Multiple selection; Check Box,,If I4 = Flexible Pavement,FALSE,FALSE,I5, nh_sh_2_lane
352,Rigid Pavement,Pavement Condition ,Existing,Multiple selection; Check Box,,If I4 = Rigid Pavement,FALSE,FALSE,I6, nh_sh_2_lane
353,Skidding due to ,Pavement Condition ,Existing,Radio Button,,,FALSE,FALSE,I7, nh_sh_2_lane
354,Comments,Pavement Condition ,Existing,Text Area,,,FALSE,FALSE,I8, nh_sh_2_lane
355,Critical observation,Pavement Condition ,Existing,Checkbox,,,FALSE,FALSE,I9, nh_sh_2_lane
356,General observation,Pavement Condition ,Existing,Checkbox,,,FALSE,FALSE,I10, nh_sh_2_lane
357,End GPS Location,Pavement Condition ,Existing,Autogenerated,,,FALSE,FALSE,I11, nh_sh_2_lane
358,End Chainage (km),Pavement Condition ,Existing,Numerical Box,,,FALSE,FALSE,I12, nh_sh_2_lane
359,Length (m),Pavement Condition ,Existing,Numerical Box,,,FALSE,FALSE,I13, nh_sh_2_lane
360,Width (m),Pavement Condition ,Existing,Numerical Box,,,FALSE,FALSE,I14, nh_sh_2_lane
361,Depth (m),Pavement Condition ,Existing,Numerical Box,,,TRUE,FALSE,I15, nh_sh_2_lane
362,Severity ,Curves,Existing,Dropdown,,,FALSE,FALSE,I16, nh_sh_2_lane
363,Priority ,Curves,Existing,Dropdown,,,TRUE,FALSE,I17, nh_sh_2_lane
364,GPS Location,Curves,Existing,Autogenerated,,,FALSE,FALSE,F1, nh_sh_2_lane
365,Chainage (km),Curves,Existing,Numerical Box,,,TRUE,FALSE,F2, nh_sh_2_lane
366,Photo/Video/Audio,Curves,Existing,Camera/ Upload,,Must have an option for taking photos/recording the video/recording audio in the field as well as  uploading the photo/video/audio recording from the device folder  Option for adding multiple photos should be there,TRUE,FALSE,F3, nh_sh_2_lane
367,Extra widening ,Curves,Existing,Radio Button,IRC:SP:73-2018 Clause 2.7.2 Â ,,TRUE,FALSE,F4, nh_sh_2_lane
368,Safety barrier,Curves,Existing,Radio Button,IRC:SP:73-2018 Clause 9.7.1 Â All embankments with height 3 m or more shall have safety barriers at the edge of formation  with delineating reflectors fitted on them. ,,TRUE,FALSE,F5, nh_sh_2_lane
369,End Treatment  ,Curves,Existing,Radio Button,IRC:SP:73-2018 Clause 9.7.2 Road side steel barriers b)End treatment for steel barrier: Fig 9.13,If F5= Yes,FALSE,FALSE,F5.1, nh_sh_2_lane
370,Dangerous sharp curves after crests  long downgrades,Curves,Existing,Radio Button,,,TRUE,FALSE,F6, nh_sh_2_lane
371,Safety barrier extended by more than 100m at the start and end of the sharp curve,Curves,Existing,Radio Button,IRC 119:2015 Clause 4.3.7 On sharp curves  the W-beam barriers should extend to 100 m beyond the beginning and end of the curves,If F6= Yes,FALSE,FALSE,F6.1, nh_sh_2_lane
372,Road Marking Issues,Curves,Existing,,,Pop up Section G when clicked,FALSE,FALSE,F7, nh_sh_2_lane
373,Signboard Issues,Curves,Existing,,,Pop up Section H when clicked,FALSE,FALSE,F8, nh_sh_2_lane
374,Road Delineator Issues,Curves,Existing,Multiple selection; Check Box,,,TRUE,FALSE,F9, nh_sh_2_lane
375,Missing type,Curves,Existing,Multiple selection; Check Box,,If F9 = Missing,FALSE,FALSE,F10, nh_sh_2_lane
376,Comments,Curves,Existing,Text Area,,,FALSE,FALSE,F11, nh_sh_2_lane
377,Critical observation,Road Markings,Existing,Checkbox,,,FALSE,FALSE,F12, nh_sh_2_lane
378,General observation,Road Markings,Existing,Checkbox,,,FALSE,FALSE,F13, nh_sh_2_lane
379,Severity ,Road Markings,Existing,Dropdown,,,FALSE,FALSE,F14, nh_sh_2_lane
380,Priority ,Road Markings,Existing,Dropdown,,,TRUE,FALSE,F15, nh_sh_2_lane
381,Start GPS Location,Road Markings,Existing,Autogenerated,,,FALSE,FALSE,G1, nh_sh_2_lane
382,Start Chainage (km),Road Markings,Existing,Numerical Box,,,TRUE,FALSE,G2, nh_sh_2_lane
383,Photo/Video/Audio,Road Markings,Existing,Camera/ Upload,,Must have an option for taking photos/recording the video/recording audio in the field as well as  uploading the photo/video/audio recording from the device folder  Option for adding multiple photos should be there,TRUE,FALSE,G3, nh_sh_2_lane
384,Type,Road Markings,Existing,Multiple selection; Check Box,s,,TRUE,FALSE,G4, nh_sh_2_lane
385,Issues,Road Markings,Existing,Multiple selection; Check Box,,,FALSE,FALSE,G5, nh_sh_2_lane
386,Comments,Road Markings,Existing,Text Area,,,FALSE,FALSE,G6, nh_sh_2_lane
387,Critical observation,Road Markings,Existing,Checkbox,,,FALSE,FALSE,G7, nh_sh_2_lane
388,General observation,Road Markings,Existing,Checkbox,,,FALSE,FALSE,G8, nh_sh_2_lane
389,End GPS Location,Signage,Existing,Autogenerated,,,FALSE,FALSE,G9, nh_sh_2_lane
390,End Chainage (km),Signage,Existing,Numerical Box,,,TRUE,FALSE,G10, nh_sh_2_lane
391,Length (m),Signage,Existing,Numerical Box,,If G5= Faded (Wear durability)/Missing,FALSE,FALSE,G11, nh_sh_2_lane
392,Severity ,Signage,Existing,Dropdown,,,FALSE,FALSE,G12, nh_sh_2_lane
393,Priority ,Signage,Existing,Dropdown,,,TRUE,FALSE,G13, nh_sh_2_lane
394,GPS Location,Signage,Existing,Autogenerated,,,FALSE,FALSE,H1, nh_sh_2_lane
395,Chainage (km),Signage,Existing,Numerical Box,,,TRUE,FALSE,H2, nh_sh_2_lane
396,Photo/Video/Audio,Signage,Existing,Camera/ Upload,,Must have an option for taking photos/recording the video/recording audio in the field as well as  uploading the photo/video/audio recording from the device folder  Option for adding multiple photos should be there,TRUE,FALSE,H3, nh_sh_2_lane
397,Type,Signage,Existing,Dropdown,,,TRUE,FALSE,H4, nh_sh_2_lane
